year,age,partylr,krbornin,krcit,krlived,krkorean,krconfuc,krfeel,krancstr,immcrime,immjobs,immideas,LETIN1,rank,age_x,rank_x,partylr_x,letin1_x,immcrime_x,immjobs_x,immideas_x,krbornin_x,krcit_x,krlived_x,krkorean_x,krconfuc_x,krfeel_x,krancstr_x
2003,38,2,3,1,3,3,3,1,1,4,5,3,3,5,19~39,middle,conservative,remained,disagree,strongly disagree,neutral,0,1,0,0,0,1,1
2003,45,3,1,1,1,1,3,1,1,4,5,3,3,4,40~59,lower,middle,remained,disagree,strongly disagree,neutral,1,1,1,1,0,1,1
2003,41,4,1,1,3,1,2,1,1,4,4,4,3,5,40~59,middle,liberal,remained,disagree,disagree,disagree,1,1,0,1,1,1,1
2003,53,3,1,1,1,1,3,2,1,2,2,4,3,5,40~59,middle,middle,remained,agree,agree,disagree,1,1,1,1,0,1,1
2003,40,4,2,2,3,2,3,1,1,3,4,3,4,4,19~39,lower,liberal,reduced,neutral,disagree,neutral,1,1,0,1,0,1,1
2003,64,1,1,1,1,1,3,1,2,4,4,2,3,4,60~,lower,conservative,remained,disagree,disagree,agree,1,1,1,1,0,1,1
2003,41,3,1,1,1,1,2,1,1,4,2,4,4,4,40~59,lower,middle,reduced,disagree,agree,disagree,1,1,1,1,1,1,1
2003,41,3,1,1,1,2,3,2,2,2,3,3,4,5,40~59,middle,middle,reduced,agree,neutral,neutral,1,1,1,1,0,1,1
2003,25,4,2,2,3,2,3,2,3,2,3,3,2,5,19~39,middle,liberal,increased,agree,neutral,neutral,1,1,0,1,0,1,0
2003,66,3,1,1,1,1,3,1,1,1,4,2,4,2,60~,lower,middle,reduced,strongly agree,disagree,agree,1,1,1,1,0,1,1
2003,47,3,1,1,1,2,3,1,1,2,2,2,3,3,40~59,lower,middle,remained,agree,agree,agree,1,1,1,1,0,1,1
2003,29,2,2,2,2,2,4,1,2,3,3,3,3,5,19~39,middle,conservative,remained,neutral,neutral,neutral,1,1,1,1,0,1,1
2003,28,2,2,2,2,2,3,3,2,3,2,3,4,5,19~39,middle,conservative,reduced,neutral,agree,neutral,1,1,1,1,0,0,1
2003,36,2,3,2,3,1,3,1,1,5,5,2,2,7,19~39,upper,conservative,increased,strongly disagree,strongly disagree,agree,0,1,0,1,0,1,1
2003,33,2,2,2,2,1,4,1,3,4,4,3,2,5,19~39,middle,conservative,increased,disagree,disagree,neutral,1,1,1,1,0,1,0
